activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"Read",2023-10-07 23:26:46,2023-10-07 23:26:49,"","","",0:0:3,0
"cluster pools",2023-10-08 17:30:39,2023-10-08 18:18:16,"","","",0:47:37,47
"cluster pools",2023-10-08 19:01:16,2023-10-08 19:47:28,"","","",0:46:12,46
"cluster pools",2023-10-08 21:22:32,2023-10-08 22:16:21,"","","",0:53:49,53
"emp",2023-10-09 06:38:04,2023-10-09 08:16:54,"","","",1:38:50,98
"emp",2023-10-09 08:40:35,2023-10-09 10:39:31,"","","",1:58:56,118
"emp",2023-10-09 10:42:25,2023-10-09 10:57:26,"","","",0:15:1,15
"emp",2023-10-09 10:57:31,2023-10-09 13:13:37,"","","",2:16:6,136
"emp",2023-10-09 13:59:55,2023-10-09 14:57:13,"","","",0:57:18,57
"emp",2023-10-09 15:31:17,2023-10-09 16:06:19,"","","",0:35:2,35
"Break",2023-10-09 16:08:04,2023-10-09 16:08:07,"","","",0:0:3,0
"emp",2023-10-09 16:09:25,2023-10-09 16:17:35,"","","",0:8:10,8
"emp",2023-10-09 20:52:48,2023-10-10 00:07:16,"","","",3:14:28,194
"emp",2023-10-10 00:10:08,2023-10-10 00:55:10,"","","",0:45:2,45
"emp",2023-10-10 08:05:57,2023-10-10 09:30:12,"","","",1:24:15,84
"corewell",2023-10-10 09:30:26,2023-10-10 10:04:15,"","","",0:33:49,33
"emp",2023-10-10 10:11:16,2023-10-10 10:19:33,"","","",0:8:17,8
"emp",2023-10-10 10:19:35,2023-10-10 12:09:28,"","","",1:49:53,109
"lunch",2023-10-10 12:09:30,2023-10-10 13:13:50,"","","",1:4:20,64
"corewell",2023-10-10 13:13:50,2023-10-10 16:14:09,"","","",3:0:19,180
"emp",2023-10-10 20:20:09,2023-10-11 00:00:00,"","","",3:39:51,219
"corewell",2023-10-11 08:28:19,2023-10-11 08:40:32,"","","",0:12:13,12
"emp",2023-10-11 08:40:33,2023-10-11 08:48:08,"","","",0:7:35,7
"emp",2023-10-11 09:01:26,2023-10-11 09:43:36,"","","",0:42:10,42
"corewell",2023-10-11 09:43:37,2023-10-11 10:50:01,"","","",1:6:24,66
"emp",2023-10-11 09:48:28,2023-10-11 10:30:38,"","","",0:42:10,42
"emp",2023-10-11 10:50:02,2023-10-11 13:58:07,"","","",3:8:5,188
"emp",2023-10-11 14:20:56,2023-10-11 17:22:15,"","","",3:1:19,181
"emp",2023-10-12 08:38:26,2023-10-12 08:38:29,"","","",0:0:3,0
"corewell",2023-10-12 08:38:28,2023-10-12 10:08:44,"","","",1:30:16,90
"corewell",2023-10-12 10:51:18,2023-10-12 11:15:40,"","","",0:24:22,24
"emp",2023-10-12 11:15:41,2023-10-12 11:46:40,"","","",0:30:59,30
"corewell",2023-10-12 12:33:51,2023-10-12 13:48:27,"","","",1:14:36,74
"corewell",2023-10-12 14:34:15,2023-10-12 15:04:25,"","","",0:30:10,30
"emp",2023-10-12 15:04:26,2023-10-12 16:03:21,"","","",0:58:55,58
"corewell",2023-10-12 16:03:22,2023-10-12 16:43:56,"","","",0:40:34,40
"corewell",2023-10-12 16:44:08,2023-10-12 17:25:41,"","","",0:41:33,41
"corewell",2023-10-13 06:53:50,2023-10-13 08:15:51,"","","",1:22:1,82
"corewell",2023-10-13 09:09:11,2023-10-13 10:25:37,"","","",1:16:26,76
"corewell",2023-10-13 10:45:10,2023-10-13 11:36:05,"","","",0:50:55,50
"corewell",2023-10-13 12:13:38,2023-10-13 14:13:38,"","","",2:0:0,120
"emp",2023-10-13 15:00:14,2023-10-13 16:00:14,"","","",1:0:0,60
"corewell",2023-10-14 12:46:28,2023-10-14 13:15:31,"","","",0:29:3,29
"corewell",2023-10-14 13:30:46,2023-10-14 15:00:46,"","","incident creation",1:30:0,90
"corewell",2023-10-14 19:07:04,2023-10-14 19:17:41,"","","incident creation",0:10:37,10
"corewell",2023-10-14 19:18:02,2023-10-14 19:53:21,"","","incident creation",0:35:19,35
"corewell",2023-10-15 12:00:42,2023-10-15 12:19:42,"","","admin",0:19:0,19
"emp",2023-10-15 12:20:57,2023-10-15 12:30:56,"","","Cluster Pools, unit tests and integration tests",0:9:59,9
"emp",2023-10-15 12:48:44,2023-10-15 12:53:47,"","","Cluster Pools, unit tests and integration tests",0:5:3,5
"emp",2023-10-15 13:00:24,2023-10-15 13:30:24,"","","admin",0:30:0,30
"emp",2023-10-15 14:02:53,2023-10-15 14:46:14,"","","Cluster Pools, unit tests and integration tests",0:43:21,43
"emp",2023-10-15 15:13:04,2023-10-15 15:23:38,"","","Cluster Pools, unit tests and integration tests",0:10:34,10
